CAND_ID,CAND_NAME,OFFICE_NAME,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,CAND_ICI,TTL_RECEIPTS,TTL_DISB,TTL_INDIV_CONTRIB,CAND_CONTRIB,CAND_LOANS,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,COH_COP,DEBTS_OWED_BY
H4AL03095,"NEWELL, BRYAN KEITH",House,REP,AL,C,6475.82,6057.95,366.81,6109.01,0.0,0.0,0.0,172.54,0.0
H2AL03107,"BELL, DOUGLAS A.",House,IND,AL,C,196.0,220.0,0.0,196.0,0.0,0.0,0.0,79.61,299.93
H8AL04086,"NEIGHBORS, RICKY",House,DEM,AL,C,3430.31,0.0,0.0,0.0,3430.31,0.0,0.0,0.0,3430.31
H4AL04036,"HOLCOMB, JUSTIN",House,REP,AL,C,6200.0,4616.18,1700.0,0.0,4500.0,0.0,0.0,0.0,0.0
H6AL04098,"ADERHOLT, ROBERT B. REP.",House,REP,AL,I,1499911.78,1692460.67,635352.36,0.0,0.0,795500.0,0.0,966896.34,0.0
H2AL04105,"COCHRAN, JOHN",House,LIB,AL,C,0.0,388.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2AL05177,"WARNER-STANTON, KATHY L",House,DEM,AL,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2009.63,95000.0
H0AL05163,"BROOKS, MO",House,REP,AL,I,0.0,1968.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2AL05102,"STRONG, DALE WHITNEY",House,REP,AL,I,1301231.26,691299.16,654265.43,0.0,0.0,575750.0,0.0,628977.42,240000.0
H4AL06189,"ANDERSON, ELIZABETH",House,DEM,AL,C,208724.38,173213.53,186789.39,162.0,3480.0,16192.99,0.0,35510.85,0.0
H4AL06098,"PALMER, GARY",House,REP,AL,I,1728601.16,2021427.7,1046435.31,0.0,0.0,596510.0,0.0,153239.32,0.0
H4AL06163,"WILKINS, GERRICK DEWAYNE",House,REP,AL,C,330372.31,330372.31,124752.0,84923.57,115000.0,10.0,0.0,0.0,89000.0
H4AL06171,"MCFEETERS, KENNETH R",House,REP,AL,C,17000.0,17000.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0
H0AL07086,"SEWELL, TERRI A.",House,DEM,AL,I,3036770.95,2462142.12,972896.99,0.0,0.0,2063873.95,0.0,3470560.9,0.0
H4AL07104,"LITAKER, ROBIN DR.",House,REP,AL,C,42634.27,42634.27,19175.59,0.0,17180.0,786.47,5000.0,0.0,17577.39
H4AR01077,"GOVENS, RODNEY",House,DEM,AR,C,95238.76,94346.65,61360.46,0.0,23538.0,10055.0,250.0,892.11,0.0
H0AR01083,"CRAWFORD, ERIC ALAN RICK",House,REP,AR,I,1098029.43,889704.9,325357.92,0.0,0.0,740193.96,1750.0,830826.86,0.0
H0AR01125,"SMITH, PRINCELLA D",House,REP,AR,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
H2AR02095,"HATHAWAY, QUINTESSA DR.",House,DEM,AR,C,509.27,554.4,150.0,357.4,0.0,0.0,0.0,0.0,0.0
H4AR02232,"JONES, MARCUS",House,DEM,AR,C,476872.35,473322.69,454577.07,0.0,0.0,19300.0,2450.0,3549.66,0.0
H2AR02103,"REYNOLDS, CONRAD E",House,REP,AR,C,25.0,1130.96,25.0,0.0,0.0,0.0,0.0,1029.01,21442.67
H4AR02141,"HILL, JAMES FRENCH",House,REP,AR,I,3802050.59,3306363.41,1757301.56,0.0,0.0,1690250.0,0.0,1376352.19,0.0
H0AR03030,"WHITAKER, DAVID JEFFREY",House,DEM,AR,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3367.43,18457.09
H4AR03065,"MATTELIN, CAITLIN RAE DRAPER",House,DEM,AR,C,258728.4,257970.44,250700.58,925.12,0.0,4000.0,0.0,757.96,0.0
H0AR03055,"WOMACK, STEPHEN A THE HON",House,REP,AR,I,2474937.89,2703359.12,1075585.74,0.0,0.0,1227581.58,0.0,1715893.66,0.0
H2AR03143,"HENDREN, JAMES PAUL",House,REP,AR,C,-63.8,0.0,0.0,0.0,-63.8,0.0,0.0,0.0,450069.05
H4AR03073,"PENZO, CLINT",House,REP,AR,C,123158.88,116705.72,121803.29,0.0,0.0,1000.0,0.0,6453.16,30000.0
H4AR04089,"HOWARD, RISI",House,DEM,AR,C,12981.87,9156.36,5733.21,701.37,624.1,4549.47,1373.72,2287.3,624.1
H2AR04083,"COTTON, THOMAS",House,REP,AR,C,2488964.09,2821992.91,1537499.24,0.0,0.0,181500.0,0.0,7450869.83,73959.0
H4AR04048,"WESTERMAN, BRUCE",House,REP,AR,I,2736566.95,1178557.57,1095592.31,0.0,0.0,1310140.58,0.0,3033560.4,0.0
H4AS01018,"KUAEA, LOUISE LEALAI MRS.",House,DEM,AS,C,26550.0,31095.58,26550.0,0.0,0.0,0.0,0.0,-4545.58,3913.92
H4AS00036,"AMATA, AUMUA",House,REP,AS,I,65150.37,63788.13,39150.37,0.0,0.0,25500.0,0.0,1656.14,0.0
H2AZ01404,"TORRES, GINGER SYKES",House,DEM,AZ,C,0.0,11842.29,0.0,0.0,0.0,0.0,0.0,0.0,10157.71
H2AZ06221,"HODGE, JEVIN D",House,DEM,AZ,C,11055.21,25880.92,3300.0,0.0,0.0,0.0,0.0,0.0,0.0
H2AZ06254,"WILLIAMSON, W JOHN",House,DEM,AZ,C,270.0,1051.37,200.0,70.0,0.0,0.0,0.0,0.0,0.0
H2AZ06270,"METZENDORF, ADAM",House,DEM,AZ,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H4AZ01186,"HORNE, ANDREW",House,DEM,AZ,C,2814612.1,2814612.1,178991.11,1306083.97,1329537.02,0.0,0.0,0.0,0.0
H4AZ01194,"SHAH, AMISH DR.",House,DEM,AZ,C,6343150.1,6252020.16,5303935.32,31024.67,163300.0,480244.58,4775.0,91801.9,3300.0
H4AZ01202,"CHERNY, ANDREI",House,DEM,AZ,C,2593678.69,2588312.61,2373509.76,35.52,150000.0,41000.0,0.0,5366.08,13900.0
H4AZ01210,"KROEMER, KURT",House,DEM,AZ,C,297460.33,297460.33,151474.41,52853.01,92773.91,0.0,0.0,0.0,0.0
H4AZ01228,"GALAN-WOODS, MARLENE",House,DEM,AZ,C,1776275.3,1776275.3,1591171.87,38177.55,75000.0,70500.0,0.0,0.0,0.0
H4AZ01244,"O'CALLAGHAN, CONOR",House,DEM,AZ,C,2208808.94,2077400.02,1082683.37,162562.3,955549.27,8000.0,0.0,0.0,1008210.62
H2AZ01172,"RENZI, RICHARD G.",House,REP,AZ,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456157.37
H2AZ06247,"NORTON, ELIJAH",House,REP,AZ,C,5000.0,13686.01,0.0,0.0,5000.0,0.0,0.0,1816.69,4772612.36
H4AZ01293,"GEORGE, KIMBERLY",House,REP,AZ,C,153414.43,152611.98,136575.35,806.11,0.0,0.0,0.0,802.45,0.0
H4AZ01335,"BACKIE, ROBERT",House,REP,AZ,C,118736.5,90335.97,17954.03,25.0,75000.0,0.0,0.0,28400.53,95000.0
H4AZ06045,"SCHWEIKERT, DAVID S.",House,REP,AZ,I,4213494.89,4216607.92,1753393.57,0.0,0.0,1568134.77,10000.0,49823.92,168177.46
H8AZ01237,"SHEDD, TIFFANY",House,REP,AZ,C,0.0,910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H4AZ02176,"BOWE, LINDSAY",House,DEM,AZ,C,9620.0,9624.0,4425.0,1195.0,0.0,0.0,0.0,-4.0,0.0
H4AZ02184,"NEZ, JONATHAN MICHAEL",House,DEM,AZ,C,5522850.09,5457626.09,5320391.09,20.0,0.0,201939.0,500.0,65175.96,0.0
H6AZ01199,"O'HALLERAN, TOM",House,DEM,AZ,I,480.49,41960.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H8AZ02136,"HEINZ, MATTHEW GERALD",House,DEM,AZ,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0
H2AZ01354,"CRANE, ELI",House,REP,AZ,I,8559239.47,8308125.11,8412660.34,0.0,0.0,114700.0,0.0,317370.07,202776.06
H2AZ02402,"DELUZIO, MARK",House,REP,AZ,O,0.0,700.0,0.0,0.0,0.0,0.0,0.0,4608.32,1125000.0
H2AZ02410,"KRYSTOFIAK, STEVEN",House,REP,AZ,O,0.0,13189.08,0.0,0.0,0.0,0.0,0.0,0.0,325522.74
H2AZ08102,"MCSALLY, MARTHA",House,REP,AZ,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H4AZ02192,"SMITH, JACK",House,REP,AZ,C,104009.41,103271.28,82755.93,11928.48,2000.0,0.0,0.0,738.13,15459.11
H8AZ02201,"MARTIN, BRANDON RAY",House,REP,AZ,,520.0,6137.8,0.0,520.0,0.0,0.0,0.0,0.0,0.0
H4AZ03109,"ANSARI, YASSAMIN",House,DEM,AZ,O,2876682.29,2866271.58,1976336.45,95209.11,385000.0,286511.22,0.0,10410.71,375000.0
H4AZ03125,"AGUILAR, YLENIA",House,DEM,AZ,O,63933.07,63933.07,63933.07,0.0,0.0,0.0,0.0,0.0,0.0
H4AZ03133,"PASTOR, LAURA",House,DEM,AZ,O,121783.96,121167.65,121425.16,0.0,0.0,0.0,0.0,616.31,0.0
H4AZ03141,"WOOTEN, DUANE M MD",House,DEM,AZ,O,57220.69,53637.56,42104.88,9400.0,5000.0,0.0,0.0,3583.13,0.0
H4AZ07043,"GALLEGO, RUBEN",House,DEM,AZ,I,64657199.96,65722622.25,59385707.27,0.0,0.0,1784685.1,75650.0,211152.7,0.0
H2AZ07187,"ZINK, JEFFREY NELSON MR",House,REP,AZ,O,60847.0,79390.55,25347.0,0.0,30000.0,5500.0,0.0,559.74,70000.0
H4AZ03158,"MENDOZA, JESUS DAVID",House,REP,AZ,O,10977.82,9787.0,8493.95,2483.87,0.0,0.0,0.0,1190.82,0.0
H8AZ09040,"STANTON, GREG",House,DEM,AZ,I,2796248.73,1813860.16,1959812.31,0.0,0.0,806686.17,0.0,1015730.46,0.0
H2AZ04135,"GOULD, RON",House,REP,AZ,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4473.28,141741.2
H2AZ09183,"DAVISON, JERONE",House,REP,AZ,C,57902.87,60833.56,57225.98,0.0,0.0,500.0,0.0,-2930.41,0.0
H2AZ09191,"COOPER, KELLY",House,REP,AZ,C,788327.2,816881.21,607197.81,797.49,50214.04,81264.0,0.0,30190.18,603480.47
H4AZ04115,"JASSER, M. ZUHDI",House,REP,AZ,C,596235.82,595952.97,581235.82,10000.0,0.0,5000.0,0.0,282.85,0.0
H6AZ09010,"GILES, DAVID VICTOR",House,REP,AZ,C,191173.8,191173.8,95860.61,0.0,95313.19,0.0,0.0,0.0,653544.47
H4AZ05112,"SCHAFFNER, KATRINA",House,DEM,AZ,C,69745.77,68855.87,65924.25,0.0,0.0,0.0,3821.52,889.9,0.0
H2AZ09142,"STOVALL, ALEX",House,REP,AZ,C,840.71,1821.63,840.71,0.0,0.0,0.0,0.0,838.17,61269.32
H6AZ05083,"BIGGS, ANDY",House,REP,AZ,I,1383059.41,1159653.7,1283197.96,0.0,0.0,75985.2,0.0,458877.56,0.0
H6AZ05091,"OLSON, JUSTIN",House,REP,AZ,O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,99296.77
H2AZ05173,"SMITH, CLINT WILLIAM",House,IND,AZ,C,48705.0,48705.0,46205.0,0.0,0.0,2500.0,0.0,0.0,0.0
H0AZ06084,"GENTLES, KARL E",House,DEM,AZ,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2541.06,0.0
H2AZ02311,"ENGEL, KIRSTEN",House,DEM,AZ,C,8461618.48,8430005.34,6839057.76,0.0,0.0,636015.34,4798.58,32418.51,0.0
H2AZ02337,"URREA, MARCOS J",House,DEM,AZ,C,20.0,17.0,0.0,20.0,0.0,0.0,0.0,275.86,0.0
H2AZ02345,"HERNANDEZ, DANIEL",House,DEM,AZ,O,0.0,1484.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H4AZ06128,"O'DONNELL, JOHN ROBERT",House,DEM,AZ,C,69325.24,69325.24,68976.25,0.0,0.0,0.0,0.0,0.0,0.0
H8AZ04165,"DISANTO, DELINA",House,DEM,AZ,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8828.97,0.0
H0AZ01184,"FLAKE, JEFF MR.",House,REP,AZ,C,0.0,19842.4,0.0,0.0,0.0,0.0,0.0,821352.48,0.0
H2AZ02360,"CISCOMANI, JUAN",House,REP,AZ,I,7035782.04,6853656.75,3626926.69,0.0,0.0,1940183.02,10500.0,236560.89,0.0
H2AZ02378,"WINN, KATHLEEN",House,REP,AZ,O,17548.01,34086.62,0.0,17114.01,0.0,0.0,0.0,0.0,0.0
H4AZ06136,"WINN, KATHLEEN",House,REP,AZ,C,286409.28,286409.28,141306.68,38395.97,95667.0,0.0,0.0,0.0,0.0
H4AZ06144,"CAST, CLIFFORD VANCE DR",House,LIB,AZ,C,50109.55,37862.28,109.55,0.0,50000.0,0.0,0.0,12247.27,0.0
H2AZ03152,"POZZOLO, LUIS",House,W,AZ,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2AZ07070,"GRIJALVA, RAUL M",House,DEM,AZ,I,643862.68,549407.41,474597.04,0.0,0.0,164500.0,0.0,300661.13,4015.59
H4AZ07134,"BUTIEREZ, DANIEL",House,REP,AZ,C,78606.9,78014.76,31011.47,46595.43,0.0,1000.0,0.0,592.14,4978.11
H4AZ07142,"BECKER, NINA",House,REP,AZ,C,300504.0,730.67,300504.0,0.0,0.0,0.0,0.0,299963.33,0.0
H4AZ08074,"SPREITZER, JEREMY",House,DEM,AZ,O,11215.24,9200.13,10930.24,285.0,0.0,0.0,0.0,2136.3,23059.3
H4AZ08090,"WHITTEN, GREGORY",House,DEM,AZ,O,576752.74,576752.74,466676.08,5447.46,103000.0,1500.0,0.0,0.0,0.0
H4AZ08108,"HAMADEH, ABRAHAM",House,REP,AZ,O,1994018.86,1957610.26,1337550.08,5030.0,394000.0,151750.0,0.0,36408.6,339455.93
H4AZ08124,"MASTERS, BLAKE",House,REP,AZ,O,4223399.05,4216338.52,514610.02,0.0,3570000.0,8800.0,0.0,7060.53,3626074.42
H4AZ08132,"KERN, ANTHONY",House,REP,AZ,O,210220.97,209824.14,148041.26,0.0,50000.0,8099.0,0.0,396.83,47000.0
H4AZ08140,"TOMA, BEN",House,REP,AZ,O,914122.11,914122.11,839297.79,0.0,0.0,71000.0,0.0,0.0,0.0
H4AZ08157,"FRANKS, TRENT",House,REP,AZ,O,644719.34,639142.0,44711.79,0.0,600000.0,0.0,0.0,5577.34,600000.0
H4AZ08173,"BRIODY, PATRICK JAMES",House,REP,AZ,O,19194.16,18551.48,600.0,0.0,18594.16,0.0,0.0,642.68,18594.16
H8AZ08158,"LESKO, DEBBIE",House,REP,AZ,I,370273.95,893861.04,186628.15,0.0,0.0,175558.0,0.0,479147.58,0.0
H2AZ08201,"SPREITZER, JEREMY",House,IND,AZ,O,11215.24,9200.13,10930.24,285.0,0.0,0.0,0.0,2136.3,23059.3
H2AZ08193,"SPREITZER, JEREMY",House,W,AZ,C,11215.24,9200.13,10930.24,285.0,0.0,0.0,0.0,2136.3,23059.3
H2AZ09019,"SINEMA, KYRSTEN",House,DEM,AZ,I,5311800.8,9272137.32,2146870.38,0.0,0.0,818655.0,0.0,4276880.44,0.0
H2AZ09027,"SCHAPIRA, DAVID",House,DEM,AZ,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.07
H2AZ09043,"CHERNY, ANDREI",House,DEM,AZ,C,2593678.69,2588312.61,2373509.76,35.52,150000.0,41000.0,0.0,5366.08,13900.0
H4AZ09031,"BLAIR, NICHOLAS EDWARD",House,DEM,AZ,C,5100.0,5100.0,0.0,5100.0,0.0,0.0,0.0,0.0,0.0
H4AZ09049,"SMITH, QUACY L",House,DEM,AZ,C,236354.19,213624.22,145521.92,5267.5,77910.0,5000.0,0.0,32268.36,64410.0
H0AZ01259,"GOSAR, PAUL DR.",House,REP,AZ,I,478477.68,497470.48,432326.32,0.0,0.0,34900.0,0.0,91596.98,0.0
H0AZ03321,"PARKER, VERNON",House,REP,AZ,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4619.9,15813.62
H0AZ09021,"TUTORA, NICHOLAS",House,REP,AZ,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2AZ06155,"GRANTHAM, TRAVIS W.",House,REP,AZ,O,7500.0,360.0,0.0,0.0,7500.0,0.0,0.0,148.99,311911.5
H2AZ09209,"KUTZ, RANDY",House,REP,AZ,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44833.21
H4AZ20012,"BUSBY, BRADY",House,IND,AZ,C,2877.0,2596.58,770.0,2107.0,0.0,0.0,0.0,280.42,0.0
H2CA01227,"STEINER, MAX",House,DEM,CA,C,0.0,16218.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H4CA01140,"YEE, ROSE PENELOPE",House,DEM,CA,C,86105.64,79623.42,60194.56,0.0,20000.0,2688.18,475.0,7427.61,20000.0
H2CA02142,"LAMALFA, DOUG",House,REP,CA,I,1012001.47,694249.77,627954.84,0.0,0.0,377900.0,3050.0,684441.94,0.0
H2CA06259,"HUFFMAN, JARED",House,DEM,CA,I,1014658.0,958825.63,532702.44,0.0,0.0,415645.64,0.0,984642.94,742.67
H2CA02241,"COULOMBE, CHRIS MR",House,REP,CA,C,123590.25,123059.31,104968.33,0.0,11850.0,0.0,1758.5,917.01,31350.18
H4CA02098,"MENSING, DALE KENNETH",House,REP,CA,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.68,0.0
H4CA02130,"GIBBS JENSEN, TIEF",House,REP,CA,C,28280.1,27905.62,27663.12,416.98,0.0,0.0,0.0,374.48,325.0
H2CA04122,"JONES, KERMIT",House,DEM,CA,C,437.15,31278.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H8CA04210,"MORSE, JESSICA",House,DEM,CA,C,3082382.7,3262405.92,2815071.91,0.0,0.0,208307.5,9104.95,24339.74,2146.88
H2CA03157,"KILEY, KEVIN",House,REP,CA,I,4266158.4,3924153.82,3014958.68,0.0,0.0,650722.34,0.0,380978.07,0.0
H2CA04155,"ENGDAHL, ANDREW DAVID",House,DEM,CA,C,1587.46,4028.28,1587.46,0.0,0.0,0.0,0.0,666.19,0.0
H8CA01109,"THOMPSON, MIKE MR.",House,DEM,CA,I,2434299.38,2852644.87,894741.21,0.0,0.0,1493286.0,880.94,1209488.4,36045.67
H2CA04148,"BROCK, MATTHEW",House,REP,CA,C,1510.0,1532.85,50.0,0.0,1460.0,0.0,0.0,0.0,7260.0
H4CA04128,"MUNN, JOHN",House,REP,CA,C,159805.48,159805.48,30889.98,0.0,127500.0,300.0,0.0,0.0,0.0
H4CA04136,"PATWARDHAN, NIKET",House,NOP,CA,C,9019.12,9019.12,0.0,279.12,8740.0,0.0,0.0,0.0,0.0
H2CA00096,"BARKLEY, MICHAEL JAMES MR.",House,DEM,CA,C,86712.32,82051.67,13690.57,0.0,63562.81,250.0,5700.0,4738.88,537275.86
H2CA05111,"MAIN, DAVID NATHAN",House,REP,CA,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3120.0,0.0
H2CA22181,"MAGSIG, NATHAN",House,REP,CA,C,250.0,12028.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H8CA04152,"MCCLINTOCK, THOMAS",House,REP,CA,I,1171016.98,1160351.97,937576.95,0.0,0.0,221140.18,523.19,148204.99,0.0
H0CA03078,"BERA, AMERISH",House,DEM,CA,I,1250010.96,1111772.18,458165.56,0.0,0.0,783204.83,250.0,1873371.71,57800.0
H2CA07125,"GORMAN, MARK EDWARD",House,DEM,CA,C,11850.41,11850.41,558.0,11292.41,0.0,0.0,0.0,0.0,0.0
H4CA06180,"BARAJAS, ADAN JOSEPH",House,DEM,CA,C,450.0,0.0,150.0,300.0,0.0,0.0,0.0,450.0,0.0
H6CA06219,"JEFFERSON, DELMA",House,DEM,CA,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10512.74,152070.87
H0CA03128,"HAMILTON, TAMIKA",House,REP,CA,C,1534.22,15255.59,82.32,0.0,0.0,0.0,0.0,-50.0,0.0
H0CA06170,"BISH, CHRISTINE",House,REP,CA,C,182260.28,182368.4,172729.28,500.0,7170.0,0.0,0.0,50.14,35069.5
H2CA07133,"DANIELS, BRET",House,REP,CA,C,4699.0,3314.13,3605.88,1093.12,0.0,0.0,0.0,2384.87,5103.78
H4CA06149,"DELUZ, CRAIG",House,REP,CA,C,32126.04,32078.95,27068.59,0.0,5000.0,50.0,0.0,47.09,13177.53
H4CA06156,"RIEHLE, RAYMOND A",House,REP,CA,C,48647.0,48107.17,26147.0,100.0,22400.0,0.0,0.0,539.83,23150.0
H4CA06164,"MARTIN, MARSHALL",House,REP,CA,C,3615.0,3615.0,3530.0,85.0,0.0,0.0,0.0,0.0,0.0
H2CA06317,"FREMGEN, JAMES LUCAS",House,DEM,CA,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.24,-173.4
H4CA07097,"MANDEL, DAVID",House,DEM,CA,C,147050.77,151530.93,89821.5,55229.27,0.0,2000.0,0.0,-35304.66,20000.0
H6CA05195,"MATSUI, DORIS",House,DEM,CA,I,1239231.82,1113903.11,366890.42,0.0,0.0,872251.38,0.0,306668.8,0.0
H0CA11352,"EMKEN, ELIZABETH",House,REP,CA,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.71,32000.0
H2CA07141,"SEMENENKO, MAX",House,REP,CA,C,960.0,11293.22,960.0,0.0,0.0,0.0,0.0,0.0,0.0
H4CA07055,"BIRMAN, IGOR A",House,REP,CA,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.82,85084.75
H4CA07089,"SILVA, THOMAS",House,REP,CA,C,5551.5,5551.5,1551.5,0.0,4000.0,0.0,0.0,0.0,0.0
H0CA08226,"GOMEZ, BLANCA",House,DEM,CA,C,0.0,311.66,0.0,0.0,0.0,0.0,0.0,228.53,0.0
H0CA10149,"GARAMENDI, JOHN",House,DEM,CA,I,1113065.76,969795.57,551472.99,0.0,0.0,561350.0,0.0,1264717.73,0.0
H2CA08230,"SUDDUTH, CHERYL",House,DEM,CA,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H0CA08127,"STAAT, JEREMY",House,REP,CA,O,0.0,95.17,0.0,0.0,0.0,0.0,0.0,0.0,4000.0
H2CA00153,"RECILE, RUDY",House,REP,CA,C,21437.01,20893.56,17223.01,0.0,4214.0,0.0,0.0,1037.74,31716.66
H4CA11081,"MCNERNEY, JERRY",House,DEM,CA,I,1709.72,66402.73,0.0,0.0,0.0,0.0,0.0,769.94,0.0
H8CA10126,"HARDER, JOSH",House,DEM,CA,I,5415539.47,4876309.57,4507023.42,0.0,0.0,590024.0,6819.18,1688831.72,0.0
H2CA09139,"PATTI, THOMAS",House,REP,CA,O,6327.85,49173.19,0.0,0.0,0.0,198.32,0.0,0.0,0.0
H2CA09154,"SHOEMAKER, JAMES H",House,REP,CA,O,1890.0,2670.68,1890.0,0.0,0.0,0.0,0.0,0.0,0.0
