CMTE_ID,CMTE_NM,CMTE_TP,CMTE_DSGN,TTL_RECEIPTS,TTL_DISB,INDV_CONTRIB,OTHER_POL_CMTE_CONTRIB,CAND_CONTRIB,CAND_LOANS,CONTRIB_TO_OTHER_CMTE,IND_EXP,COH_COP,DEBTS_OWED_BY,CVG_END_DT,CMTE_TP_DESC,CATEGORY
C00001461,ALASKA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (ALPAC),Q,U,10053.26,8198.1,10052.23,0.0,0.0,0.0,7000.0,0.0,5501.58,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00001636,SMART TD PAC,Q,B,2388713.31,2110405.03,2376213.31,0.0,0.0,0.0,1077850.0,0.0,2651572.58,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00001727,BUSINESS-INDUSTRY POLITICAL ACTION COMMITTEE,W,U,91653.92,99320.09,29992.0,47500.0,0.0,0.0,24000.0,0.0,13054.76,0.0,12/31/2024,PAC with Non-Contribution Account - Qualified,Traditional PACs
C00001743,LOCAL 1814 ILA  POLITICAL ACTION AND EDUCATION FUND,Q,U,158325.04,108013.03,158325.04,0.0,0.0,0.0,0.0,0.0,98100.3,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00001917,WY DEMOCRATIC STATE CENTRAL COMMITTEE,Y,U,4363148.97,4297239.47,219412.16,3670.84,0.0,0.0,0.0,0.0,126721.19,13505.55,12/31/2024,Party - Qualified,Party Committees
C00002089,COMMUNICATIONS WORKERS OF AMERICA - COPE POLITICAL CONTRIBUTIONS COMMITTEE,Q,B,7796286.05,7616020.78,7380536.05,0.0,0.0,0.0,3736542.0,11235.84,2169737.6,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00002238,NATIONAL COUNCIL OF FARMER COOPERATIVES CO-OP/PAC,Q,B,223925.0,286520.5,144425.0,78500.0,0.0,0.0,252500.0,0.0,76657.49,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00002261,FEDERATION OF AMERICAN HOSPITALS PAC,Q,B,752461.17,768045.36,678702.72,57600.0,0.0,0.0,744500.0,0.0,139880.75,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00002469,MACHINISTS NON PARTISAN POLITICAL LEAGUE OF THE INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS,Q,B,4311913.6,3986364.85,4286913.6,0.0,0.0,0.0,2925500.0,0.0,995698.87,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00002766,UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION ACTIVE BALLOT CLUB,Q,B,16515013.74,16361891.8,16451613.34,0.0,0.0,0.0,6269869.85,6211.21,4561652.42,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00002790,OLIN CORPORATION GOOD GOVERNMENT FUND (OLIN WINCHESTER GOOD GOVERNMENT FUND),Q,U,169885.72,133290.03,169885.72,0.0,0.0,0.0,132000.0,0.0,79716.86,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00002832,COMMITTEE FOR GOOD GOVERNMENT INTERNATIONAL UNION UAW,Q,B,381359.21,16250.5,346810.74,0.0,0.0,0.0,0.0,0.0,1308693.45,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00002840,UAW - V - CAP (UAW VOLUNTARY COMMUNITY ACTION PROGRAM) 'INT'L UNION UNITED AUTOMOBILE AEROSPACE & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA UAW,Q,B,15260385.54,14093567.6,12008223.08,0.0,0.0,0.0,7701800.0,97642.08,10868682.31,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00002881,TRUCKING POLITICAL ACTION COMMITTEE OF THE AMERICAN TRUCKING ASSOCIATIONS INC.,Q,B,874525.07,973709.95,792025.07,81500.0,0.0,0.0,954600.0,0.0,373743.32,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00002907,ARKANSAS MEDICAL SOCIETY POLITICAL ACTION COMMITTEE,Q,U,8422.0,10027.57,8422.0,0.0,0.0,0.0,3000.0,0.0,2345.04,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00002972,NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION AMERICA'S ELECTRIC COOPERATIVES PAC,Q,B,4475790.64,4255086.88,4327890.72,0.0,0.0,0.0,2736900.0,0.0,2361477.9,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00003061,NORTH DAKOTA MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,Q,U,11800.0,11400.0,11800.0,0.0,0.0,0.0,0.0,0.0,3151.16,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00003111,MAINE REPUBLICAN PARTY,Y,U,3979809.86,3931232.1,336240.04,150000.0,0.0,0.0,0.0,0.0,153851.31,3285.65,12/31/2024,Party - Qualified,Party Committees
C00003152,NORTH CAROLINA MEDICAL SOCIETY FEDERAL POLITICAL EDUCATION AND ACTION COMMITTEE,Q,U,17615.06,11650.0,12543.54,5000.0,0.0,0.0,9500.0,0.0,26101.24,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00003160,NORTH AMERICA'S BUILDING TRADES UNIONS POLITICAL EDUCATIONAL FUND,Q,U,518902.62,483831.49,408352.62,10550.0,0.0,0.0,310000.0,0.0,259014.28,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00003194,CALIFORNIA MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE - FEDERAL,Q,U,6552.43,10328.0,6552.43,0.0,0.0,0.0,5000.0,0.0,493.4,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00003210,UTAH MEDICAL POLITICAL ACTION COMMITTEE,Q,U,61528.86,16650.0,61528.86,0.0,0.0,0.0,10000.0,0.0,45017.29,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00003251,NEA FUND FOR CHILDREN AND PUBLIC EDUCATION,Q,B,4055302.16,3942936.32,4042302.16,0.0,0.0,0.0,3309160.0,0.0,1801565.71,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00003418,REPUBLICAN NATIONAL COMMITTEE,Y,U,475764008.28,452002717.2,185043891.42,487750.0,0.0,0.0,8000.0,0.0,38065147.99,0.0,12/31/2024,Party - Qualified,Party Committees
C00003558,NATIONAL COMMITTEE FOR AN EFFECTIVE CONGRESS,Q,U,85244.0,139910.33,85244.0,0.0,0.0,0.0,16000.0,0.0,14092.59,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00003590,UNITED STEELWORKERS POLITICAL ACTION FUND,Q,B,2800120.26,1530538.06,2800120.26,0.0,0.0,0.0,821000.0,28771.21,6243559.41,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00003632,INT'L UNION OF BRICKLAYERS AND ALLIED CRAFTWORKERS,Q,B,2204918.24,1683260.9,2202418.24,2500.0,0.0,0.0,1241500.0,2505.69,1722040.25,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00003764,NATIONAL RESTAURANT ASSOCIATION PAC (RESTAURANT PAC),Q,B,1265601.15,1158035.31,1202351.15,45750.0,0.0,0.0,1038000.0,0.0,583536.79,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00003806,AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE,Q,B,152410.35,122330.56,27410.35,7500.0,0.0,0.0,117000.0,0.0,40072.68,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00003855,"NATIONAL CONFECTIONERS ASSOCIATION OF THE UNITED STATES, INC. POLITICAL ACTION COMMITTEE (CANDY PAC)",Q,B,682763.27,803123.99,653263.27,27500.0,0.0,0.0,778000.0,0.0,70446.3,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00003863,"DISTRICT NO. 1-PCD, MARINE ENGINEERS' BENEFICIAL ASSOCIATION - RETIREES' GROUP FUND (MEBA-RGF)",Q,B,3400.92,1077.76,3400.92,0.0,0.0,0.0,0.0,0.0,57545.6,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00003988,NEBRASKA DEMOCRATIC PARTY,Y,U,6642470.24,6481145.59,972776.33,32864.96,0.0,0.0,8951.4,0.0,271415.97,64448.49,12/31/2024,Party - Qualified,Party Committees
C00004036,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),Q,B,74457473.61,78279617.1,62427116.43,0.0,0.0,0.0,28888497.4,6882888.73,7770505.62,3586757.25,12/31/2024,PAC - Qualified,Traditional PACs
C00004101,NATIONAL UTILITY CONTRACTORS ASSOCIATION LEGISLATIVE INFORMATION AND ACTION COMMITTEE,Q,B,64578.35,93603.82,56758.0,0.0,0.0,0.0,92000.0,0.0,41045.77,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),Q,B,3746941.73,3582900.21,480326.06,83000.0,0.0,0.0,3581150.21,0.0,2248335.37,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00004325,SEAFARERS POLITICAL ACTIVITY DONATION - SEAFARERS INTERNATIONAL UNION OF NA-AGLIW,Q,U,991791.38,1201285.63,990723.09,0.0,0.0,0.0,401487.5,0.0,141232.45,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00004440,TEAMSTERS LOCAL 745 DRIVE,Q,U,85367.39,112023.97,278.0,76594.64,0.0,0.0,0.0,0.0,332767.55,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00004473,NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION RURAL BROADBAND PAC,Q,B,773617.73,669681.56,773617.73,0.0,0.0,0.0,663000.0,0.0,342626.46,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00004606,KANSAS REPUBLICAN PARTY,Y,U,2490388.55,2570363.82,272667.93,277950.69,0.0,0.0,5000.0,0.0,12198.05,0.0,12/31/2024,Party - Qualified,Party Committees
C00004812,MORTGAGE BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE (MORPAC),Q,B,2051459.36,2105329.29,1864459.36,179500.0,0.0,0.0,2066000.0,0.0,809542.37,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00004861,UNITE HERE TIP CAMPAIGN COMMITTEE,Q,B,1852182.38,2153574.7,1847182.38,0.0,0.0,0.0,1855357.19,0.0,1180916.73,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00004879,AMERICAN BUS ASSOCIATION POLITICAL ACTION COMMITTEE - BUSPAC,Q,B,186061.46,75500.0,155091.94,0.0,0.0,0.0,75500.0,0.0,367199.39,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00004911,ALABAMA MEDICAL PAC CONNECTED WITH THE MEDICAL ASSOCIATION OF THE STATE OF ALABAMA,Q,U,15334.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313894.01,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00004952,ELECTRIC COOPERATIVES OF MISSISSIPPI ACTION COMMITTEE FOR RURAL ELECTRIFICATION,Q,U,81669.6,25459.55,0.0,0.0,0.0,0.0,25000.0,0.0,403967.46,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00004994,NATIONAL ASSOCIATION OF PROFESSIONAL INSURANCE AGENTS POLITICAL ACTION COMMITTEE (PIAPAC),Q,B,91132.0,56720.31,88632.0,2500.0,0.0,0.0,54000.0,0.0,227103.51,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00005132,SOUTH DAKOTA STATE MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE (SDSMAPAC),Q,U,39470.0,139552.86,39470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02/16/2024,PAC - Qualified,Traditional PACs
C00005157,INTERNATIONAL BROTHERHOOD OF BOILERMAKERS CAMPAIGN ASSISTANCE FUND,Q,B,651553.49,688959.01,649677.45,0.0,0.0,0.0,676000.0,0.0,281464.78,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00005173,STATE DEMOCRATIC EXECUTIVE COMMITTEE OF ALABAMA,Y,U,5158528.65,5201392.58,218327.99,19569.46,0.0,0.0,0.0,0.0,67610.48,21112.64,12/31/2024,Party - Qualified,Party Committees
C00005249,NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS POLITICAL ACTION COMM,Q,B,1577014.11,1473300.0,1566014.11,10000.0,0.0,0.0,1473300.0,0.0,1023650.26,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00005462,10TH DISTRICT REPUBLICAN CONGRESSIONAL COMMITTEE,Y,U,115190.06,121585.18,71794.99,0.0,0.0,0.0,0.0,0.0,23521.03,0.0,12/31/2024,Party - Qualified,Party Committees
C00005561,DEMOCRATIC EXECUTIVE COMMITTEE OF FLORIDA,Y,U,16895207.41,17478003.21,3526567.51,628706.28,0.0,0.0,17000.0,0.0,266225.15,40000.0,12/31/2024,Party - Qualified,Party Committees
C00005660,AMERICAN ASSOCIATION OF ORAL AND MAXILLOFACIAL SURGEONS POLITICAL ACTION COMMITTEE,Q,B,538029.44,479957.86,501451.0,0.0,0.0,0.0,462000.0,0.0,729909.16,5757.0,12/31/2024,PAC - Qualified,Traditional PACs
C00005785,"WYOMING REPUBLICAN PARTY, INC.",Y,U,1421572.53,1433612.8,334318.35,32342.84,0.0,0.0,4713.69,0.0,16659.71,1719.32,12/31/2024,Party - Qualified,Party Committees
C00005801,6TH CONGRESSIONAL DISTRICT REPUBLICAN FEDERAL COMMITTEE,Y,U,16692.0,17227.19,8282.0,500.0,0.0,0.0,0.0,0.0,3840.23,0.0,12/31/2024,Party - Qualified,Party Committees
C00005926,ILLINOIS REPUBLICAN PARTY - FEDERAL,Y,U,4659072.25,4742673.56,1674143.02,548414.52,0.0,0.0,0.0,0.0,141105.01,0.0,12/31/2024,Party - Qualified,Party Committees
C00006080,AMERICAN HEALTH CARE ASSOCIATION POLITICAL ACTION COMMITTEE,Q,B,862227.5,860209.3,828731.39,10000.0,0.0,0.0,831000.0,0.0,25974.03,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00006486,"INDIANA REPUBLICAN STATE COMMITTEE, INC.",Y,U,6455587.73,6561453.81,1037895.58,357302.12,0.0,0.0,0.0,104085.46,97403.27,25104.75,12/31/2024,Party - Qualified,Party Committees
C00007070,TEXAS INSTRUMENTS INCORPORATED POLITICAL ACTION COMMITTEE (TI PAC),Q,B,157918.65,195805.25,155418.65,0.0,0.0,0.0,129500.0,0.0,117018.17,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00007450,AMERICAN GAS ASSOCIATION POLITICAL ACTION COMMITTEE,Q,B,372918.99,356935.57,126918.99,246000.0,0.0,0.0,355500.0,0.0,369863.03,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00007542,"INTERNATIONAL ASSOCIATION OF SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS POLITICAL ACTION LEAGUE",Q,B,4285344.02,4450607.83,4265257.96,0.0,0.0,0.0,2816600.0,0.0,198572.62,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00007658,DEMOCRATIC PARTY OF SOUTH CAROLINA,Y,U,7454028.96,7401203.45,751216.31,561893.09,0.0,0.0,0.0,0.0,69466.87,19327.0,12/31/2024,Party - Qualified,Party Committees
C00007849,SPEAK UP FOR RURAL ELECTRIFICATION (SURE),Q,U,48277.65,59570.8,100.0,0.0,0.0,0.0,44500.0,0.0,37012.32,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00007880,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",Q,B,5998788.14,5575660.98,3891322.6,0.0,0.0,0.0,3675000.0,1799915.5,818633.82,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00007898,OFFICE AND PROFESSIONAL EMPLOYEES INTERNATIONAL UNION (OPEIU) JB MOSS VOICE OF THE ELECTORATE (VOTE),Q,U,1085812.57,466449.36,1050316.99,0.0,0.0,0.0,57500.0,0.0,2372546.54,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00007922,LABORERS' INTERNATIONAL UNION OF NORTH AMERICA (LIUNA) PAC,Q,B,11757323.3,11831091.93,6984930.73,60.0,0.0,0.0,10962191.14,551692.37,1480592.32,1895.84,12/31/2024,PAC - Qualified,Traditional PACs
C00007948,WEYERHAEUSER COMPANY POLITICAL ACTION COMMITTEE,Q,B,498605.69,521146.98,496105.69,0.0,0.0,0.0,494500.0,0.0,302428.8,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00008078,OHIO D.R.I.V.E. (DEMOCRATIC  REPUBLICAN INDEPENDENT VOTER EDUCATION  - TEAMSTERS JOINT COUNCIL  #41),Q,U,48388.24,42582.48,21374.0,0.0,0.0,0.0,0.0,0.0,39687.6,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00008086,MONTANA REPUBLICAN STATE CENTRAL COMMITTEE,Y,U,24989930.38,25311534.94,1048100.51,103475.0,0.0,0.0,18085000.0,5000.0,46538.06,10097.34,12/31/2024,Party - Qualified,Party Committees
C00008151,FIRST HORIZON CORPORATION FEDERAL PAC,Q,U,38238.13,29800.0,38238.13,0.0,0.0,0.0,29800.0,0.0,245432.72,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00008169,MISSOURI ELECTRIC COOPERATIVES POLITICAL ACTION COMMITTEE,Q,U,53036.18,1432.63,0.0,0.0,0.0,0.0,0.0,0.0,263387.53,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00008227,"REPUBLICAN PARTY OF ARIZONA, LLC",Y,U,19238312.94,19321758.13,1189136.03,1377800.0,0.0,0.0,0.0,0.0,67640.36,0.0,12/31/2024,Party - Qualified,Party Committees
C00008268,TRANSPORT WORKERS UNION OF AMERICA POLITICAL CONTRIBUTIONS COMMITTEE,Q,B,2298673.32,2592171.0,2296173.32,0.0,0.0,0.0,2082500.0,0.0,637203.01,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00008409,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL #302 VOLUNTARY POLITICAL FUND,Q,U,418176.72,183604.76,418176.72,0.0,0.0,0.0,121740.0,0.0,731829.42,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00008474,CITIGROUP INC. PAC - FEDERAL (CITI PAC - FEDERAL),Q,B,813179.67,877420.0,807179.67,0.0,0.0,0.0,877000.0,0.0,327028.16,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00008664,MISSOURI REPUBLICAN STATE COMMITTEE-FEDERAL,Y,U,3354260.95,3403684.13,627680.05,487100.0,0.0,0.0,0.0,0.0,24389.94,0.0,12/31/2024,Party - Qualified,Party Committees
C00008748,SEMPRA ENERGY EMPLOYEES POLITICAL ACTION COMMITTEE- FEDERAL,Q,B,765001.71,703311.77,757590.88,0.0,0.0,0.0,675334.0,0.0,517394.07,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00008755,REPUBLICAN PARTY SIXTH CONGRESSIONAL DISTRICT OF WISCONSIN,Y,U,5130.7,12795.3,185.0,0.0,0.0,0.0,5000.0,0.0,384.08,0.0,12/31/2024,Party - Qualified,Party Committees
C00008839,AMERICAN PODIATRIC MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,Q,U,452233.95,601795.34,440220.54,0.0,0.0,0.0,582500.0,0.0,67226.09,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00008896,"OPEIU LOCAL 153 ""VOTE"" (VOICE OF THE ELECTORATE) COMMITTEE",Q,U,4383.6,0.0,4383.6,0.0,0.0,0.0,0.0,0.0,13030.75,0.0,12/31/2023,PAC - Qualified,Traditional PACs
C00009282,NORFOLK SOUTHERN CORPORATION GOOD GOVERNMENT FUND,Q,B,1027198.05,1444823.16,1021960.18,0.0,0.0,0.0,1183500.0,0.0,175996.11,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00009357,"THE RECORDING INDUSTRY ASSOCIATION OF AMERICA, INC. POLITICAL ACTION COMMITTEE",Q,B,54756.0,57500.0,54756.0,0.0,0.0,0.0,57000.0,0.0,5087.54,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00009423,"BY FARMERS, FOR FARMERS PAC LAND O'LAKES, INC. PAC (BY FARMERS, FOR FARMERS PAC)",Q,B,31076.45,71854.89,30955.17,0.0,0.0,0.0,71500.0,0.0,108493.94,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00009639,"TRUIST FINANCIAL CORPORATION FEDERAL, STATE & LOCAL POLITICAL ACTION COMMITTEE (FORMERLY SUNTRUST BANKS, INC. MAIN STREET BANKERS PAC)",Q,B,318624.72,607545.54,318624.72,0.0,0.0,0.0,27500.0,0.0,158515.44,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00009704,CONSERVATIVE VICTORY FUND,Q,U,25963.86,24962.99,25957.6,0.0,0.0,0.0,3400.0,0.0,14937.45,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00009845,MONTGOMERY COUNTY DEMOCRATIC CENTRAL COMMITTEE,Y,U,250438.82,220245.2,195160.42,18085.0,0.0,0.0,0.0,0.0,30774.01,0.0,12/31/2024,Party - Qualified,Party Committees
C00009936,AMERICAN FEDERATION OF GOVT. EMPL. POLITICAL ACTION COMMITTEE,Q,B,1059291.1,1045710.56,1055791.1,0.0,0.0,0.0,1001200.0,0.0,82870.84,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00009985,NATIONAL ASSOCIATION OF BROADCASTERS POLITICAL ACTION COMMITTEE (NABPAC),Q,B,2577537.48,2765915.0,2554031.0,16000.0,0.0,0.0,2757915.0,0.0,206349.82,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00010033,MONTANA DEMOCRATIC PARTY,Y,U,19416395.35,19099413.78,2278062.44,1231642.92,0.0,0.0,705000.0,0.0,634789.1,0.0,12/31/2024,Party - Qualified,Party Committees
C00010082,NCTA - THE INTERNET & TELEVISION ASSOCIATION POLITICAL ACTION COMMITTEE (NCTAPAC),Q,B,1164646.48,1383518.44,1148646.48,16000.0,0.0,0.0,1383500.0,0.0,529795.37,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00010124,ASSOCIATED EQUIPMENT DISTRIBUTORS POLITICAL ACTION COMMITTEE,Q,B,248000.0,297558.32,247000.0,0.0,0.0,0.0,271500.0,0.0,21732.78,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00010322,AMERICAN POSTAL WORKERS UNION COMMITTEE ON POLITICAL ACTION,W,U,1581304.76,1294744.83,1569658.46,0.0,0.0,0.0,1146500.0,0.0,1622376.15,0.0,12/31/2024,PAC with Non-Contribution Account - Qualified,Traditional PACs
C00010363,CONSERVATIVE LEADERSHIP POLITICAL ACTION COMMITTEE,W,U,283445.2,330074.93,124704.4,0.0,0.0,0.0,33000.0,0.0,94700.77,0.0,12/31/2024,PAC with Non-Contribution Account - Qualified,Traditional PACs
C00010421,"ASSOCIATED BUILDERS AND CONTRACTORS, INC. POLITICAL ACTION COMMITTEE (ABC PAC)",Q,B,2530946.55,2171096.54,2519946.55,0.0,0.0,0.0,1973000.0,178800.0,825409.77,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00010439,IDAHO STATE DEMOCRATIC PARTY,Y,U,6641152.86,6636642.52,1829382.69,24975.0,0.0,0.0,0.0,0.0,96013.51,0.0,12/31/2024,Party - Qualified,Party Committees
C00010470,UNION PACIFIC CORP. FUND FOR EFFECTIVE GOVERNMENT,Q,B,2193735.21,2381035.0,2184735.21,0.0,0.0,0.0,1736300.0,0.0,449951.64,0.0,12/31/2024,PAC - Qualified,Traditional PACs
C00010561,KANSAS ACTION COMMITTEE FOR RURAL ELECTRIFICATION,Q,U,24526.95,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,192806.84,0.0,12/31/2024,PAC - Qualified,Traditional PACs
